movie_id,movie_brief,director,writers,casts
272,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant,Matt Damon|Ben Affleck,Robin Williams|Matt Damon|Ben Affleck
273,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Michael Mann,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer
274,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",Sydney Pollack,Samuel A. Taylor|Billy Wilder|Ernest Lehman,Harrison Ford|Julia Ormond|Greg Kinnear
275,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",Ang Lee,Jane Austen|Emma Thompson,Emma Thompson|Kate Winslet|James Fleet
276,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-... Read all",Mike Figgis,John O'Brien|Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands
277,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",Michael Hoffman,Rose Tremain|Rupert Walters,Robert Downey Jr.|Sam Neill|David Thewlis
278,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",Michael Goldenberg,Michael Goldenberg,Christian Slater|Mary Stuart Masterson|Pamela Adlon
279,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,Tim Reid,Clifton L. Taulbert|Paul W. Cooper,Al Freeman Jr.|Phylicia Rashad|Leon
280,"An ambitious young woman, determined to build a career in television journalism, gets good advice from her first boss, and they fall in love.",Jon Avnet,Joan Didion|John Gregory Dunne|Alanna Nash,Robert Redford|Michelle Pfeiffer|Stockard Channing
281,Rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.,Curtis Hanson,Denis O'Neill,Meryl Streep|Kevin Bacon|David Strathairn
282,"Alan receives the ghost visit of his cousin Robson, crying for revenge. Élcio and Robson has a past that hides games of seduction , provocation and unresolved tensions. This past comes up th... Read all",Giovani Barros,Giovani Barros|Daniel Nolasco,Leandro Faria Lelo|Tero Queiroz|Philipe Faria
283,"While matchmaking for friends and neighbours, a young 19th Century Englishwoman nearly misses her own chance at love.",Douglas McGrath,Jane Austen|Douglas McGrath,Gwyneth Paltrow|James Cosmo|Greta Scacchi
284,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his successful rival's girlfriend.,Ron Shelton,John Norville|Ron Shelton,Kevin Costner|Rene Russo|Don Johnson
285,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East Lo... Read all",Mike Leigh,Mike Leigh,Timothy Spall|Brenda Blethyn|Phyllis Logan
286,"At the close of World War II, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.",Anthony Minghella,Michael Ondaatje|Anthony Minghella,Ralph Fiennes|Juliette Binoche|Willem Dafoe
287,"After seventeen years, a fiercely independent woman and her rebellious son return home and together they turn the family she left behind upside down.",Jerry Zaks,Scott McPherson,Meryl Streep|Leonardo DiCaprio|Diane Keaton
288,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",Wes Craven,Kevin Williamson,Neve Campbell|Courteney Cox|David Arquette
289,"The hit musical based on the life of Eva Perón (Evita Duarte), a B-picture Argentinian actress who eventually became the wife of Argentinian president Juan Domingo Perón, and the most belove... Read all",Alan Parker,Tim Rice|Alan Parker|Oliver Stone,Madonna|Jonathan Pryce|Antonio Banderas
290,Zookeepers struggle to deal with the policies of changing directors.,Robert Young,John Cleese|Iain Johnstone|Terry Jones,John Cleese|Jamie Lee Curtis|Kevin Kline
291,Career thief Luther Whitney (Clint Eastwood) witnesses a horrific crime involving U.S. President Alan Richmond (Gene Hackman).,Clint Eastwood,David Baldacci|William Goldman,Clint Eastwood|Gene Hackman|Ed Harris
292,A dramatization of a 1923 horrific racist lynch mob attack on an African-American community.,John Singleton,Gregory Poirier,Jon Voight|Ving Rhames|Don Cheadle
293,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",Mike Newell,Joseph D. Pistone|Richard Woodley|Paul Attanasio,Al Pacino|Johnny Depp|Michael Madsen
294,A fast-track lawyer can't lie for 24 hours due to his son's birthday wish after disappointing him for the last time.,Tom Shadyac,Paul Guay|Stephen Mazur,Jim Carrey|Maura Tierney|Amanda Donohoe
295,A man searches for his missing wife after his car breaks down in the middle of the desert.,Jonathan Mostow,Jonathan Mostow|Sam Montgomery,Kurt Russell|J.T. Walsh|Kathleen Quinlan
296,"Roger uses his son Igor to ruthlessly traffic and exploit undocumented immigrants. When one of the immigrants is killed, Igor is guilt-ridden and wants to care for the dead man's family agai... Read all",Jean-Pierre Dardenne,Luc Dardenne|Jean-Pierre Dardenne|Leon Michaux,Jérémie Renier|Olivier Gourmet|Assita Ouedraogo
297,"A reclusive beekeeper slowly pulls his dysfunctional family back together, but not without having to fight his son's previous dastardly cohorts.",Victor Nunez,Victor Nunez,Peter Fonda|Patricia Richardson|Christine Dunford
298,"To foil a terrorist plot, an FBI agent undergoes facial transplant surgery to assume the identity of the criminal mastermind who murdered his only son, but the criminal wakes up prematurely ... Read all",John Woo,Mike Werb|Michael Colleary,John Travolta|Nicolas Cage|Joan Allen
299,Black gangsters in 1930 Harlem fights Dutch Schultz who is trying to horn in on their numbers racket.,Bill Duke,Chris Brancato,Laurence Fishburne|Tim Roth|Vanessa Williams
300,"Communist radicals hijack Air Force One with the U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a veteran, fights to rescue ... Read all",Wolfgang Petersen,Andrew W. Marlowe,Harrison Ford|Gary Oldman|Glenn Close
301,A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.,Frank Oz,Paul Rudnick,Kevin Kline|Joan Cusack|Tom Selleck
302,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,James Ellroy|Brian Helgeland|Curtis Hanson,Kevin Spacey|Russell Crowe|Guy Pearce
303,"A reclusive beekeeper slowly pulls his dysfunctional family back together, but not without having to fight his son's previous dastardly cohorts.",Victor Nunez,Victor Nunez,Peter Fonda|Patricia Richardson|Christine Dunford
304,A father and daughter decide to attempt to lead a flock of orphaned Canada Geese south by air.,Carroll Ballard,Bill Lishman|Robert Rodat|Vince McKewin,Jeff Daniels|Anna Paquin|Dana Delany
305,"In suburban New Canaan, Connecticut, 1973, middle-class families experimenting with casual sex and substance abuse find their lives beyond their control.",Ang Lee,Rick Moody|James Schamus,Kevin Kline|Joan Allen|Sigourney Weaver
306,"When Queen Victoria's husband Prince Albert dies, she finds solace in her trusted servant, Mr. John Brown, but their relationship also brings scandal and turmoil.",John Madden,Jeremy Brock,Judi Dench|Billy Connolly|Geoffrey Palmer
307,An exceptionally-adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss--the biggest opportunity of his career to date.,Taylor Hackford,Andrew Neiderman|Jonathan Lemkin|Tony Gilroy,Keanu Reeves|Al Pacino|Charlize Theron
308,"In 1917, two children take a photograph, which is soon believed by some to be the first scientific evidence of the existence of fairies.",Charles Sturridge,Albert Ash|Tom McLoughlin|Ernie Contreras,Paul McGann|Florence Hoath|Elizabeth Earl
309,"A hooker is found cut in two. Two cops give polygraph tests to the only suspect, James Wayland (Tim Roth), an unstable genius. After some time, the roles change.",Jonas Pate,Jonas Pate|Josh Pate,Tim Roth|Chris Penn|Michael Rooker
310,"Elmer convinces Corky that he can make it rain and end the drought, despite the previous failures of his many inventions.",Robert G. Walker,Kenneth A. Enochs,Micky Dolenz|Noah Beery Jr.|Robert Lowery
311,"An impoverished woman who has been forced to choose between a privileged life with her wealthy aunt and her journalist lover, befriends an American heiress. When she discovers the heiress is... Read all",Iain Softley,Henry James|Hossein Amini,Helena Bonham Carter|Linus Roache|Alex Jennings
312,"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends.",Clint Eastwood,John Berendt|John Lee Hancock,John Cusack|Kevin Spacey|Jack Thompson
313,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",James Cameron,James Cameron,Leonardo DiCaprio|Kate Winslet|Billy Zane
314,The three unstoppable Ninja brothers fight to save their hero (Hulk Hogan) and Mega Mountain Amusement Park from the vicious kid-hating Medusa (Loni Anderson).,Sean McNamara,Sean McNamara|Jeff Phillips,Loni Anderson|Hulk Hogan|Jim Varney
315,A boy blackmails his neighbor after suspecting him to be a Nazi war criminal.,Bryan Singer,Stephen King|Brandon Boyce,Ian McKellen|Brad Renfro|Joshua Jackson
316,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",James L. Brooks,Mark Andrus|James L. Brooks,Jack Nicholson|Helen Hunt|Greg Kinnear
317,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,Gerry Conlon|Terry George|Jim Sheridan,Daniel Day-Lewis|Pete Postlethwaite|Alison Crosbie
318,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,Thomas Keneally|Steven Zaillian,Liam Neeson|Ralph Fiennes|Ben Kingsley
319,A New York girl sets her father up with a beautiful woman in a troubled marriage while her stepsister gets engaged.,Woody Allen,Woody Allen,Woody Allen|Goldie Hawn|Julia Roberts
320,A horrific triple child murder leads to an indictment and trial of three nonconformist boys based on questionable evidence.,Joe Berlinger,Tony Brooks|Diana Davis|Terry Wood,Unknown
321,"A neurotic, twice-divorced sci-fi writer moves back in with his mother to solve his personal problems.",Albert Brooks,Albert Brooks|Monica Mcgowan Johnson,Albert Brooks|Debbie Reynolds|Paul Collins
322,A young woman is murdered in the White House. Homicide detective Regis (Wesley Snipes) investigates while Secret Service works against him. He's assigned agent Chance (Diane Lane). She event... Read all,Dwight H. Little,Wayne Beach|David Hodgin,Wesley Snipes|Diane Lane|Daniel Benzali
323,"A vulcanologist arrives at a countryside town recently named the second most desirable place to live in America, and discovers that the long dormant volcano, Dante's Peak, may wake up at any... Read all",Roger Donaldson,Leslie Bohem,Pierce Brosnan|Linda Hamilton|Jamie Renée Smith
324,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",David Lynch,David Lynch|Barry Gifford,Bill Pullman|Patricia Arquette|John Roselius
325,"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they pr... Read all",David Cronenberg,J.G. Ballard|David Cronenberg,James Spader|Holly Hunter|Elias Koteas
326,A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.,Ridley Scott,Danielle Alexandra|David Twohy,Demi Moore|Viggo Mortensen|Anne Bancroft
327,"The Sheriff of a suburban New Jersey community, populated by New York City police officers, slowly discovers the town is a front for mob connections and corruption.",James Mangold,James Mangold,Sylvester Stallone|Harvey Keitel|Ray Liotta
328,"A taxi driver with a penchant for conspiracy theories becomes a target after one of these theories turns out to be true. Unfortunately, to save himself, he has to figure out which theory it ... Read all",Richard Donner,Brian Helgeland,Mel Gibson|Julia Roberts|Patrick Stewart
329,"Frank Conner is an honest police officer who desperately needs to save his son's life. However, after losing all hope, he finds out that a criminal Peter McCabe in jail is his only savior.",Barbet Schroeder,David Klass,Michael Keaton|Andy Garcia|Brian Cox
330,"15 months after being stabbed 9 times by a student at work as a high school teacher in NYC, Mr. Garfield is working in LA as a substitute teacher come full-time. He refuses to be a victim an... Read all",Kevin Reynolds,Scott Yagemann,Samuel L. Jackson|John Heard|Kelly Rowan
331,An intellectual billionaire and two other men struggle to band together and survive after getting stranded in the Alaskan wilderness with a blood-thirsty Kodiak Bear hunting them down.,Lee Tamahori,David Mamet,Anthony Hopkins|Alec Baldwin|Elle Macpherson
332,Police hunting for a serial kidnapper are helped when a victim manages to escape for the first time.,Gary Fleder,James Patterson|David Klass,Morgan Freeman|Ashley Judd|Cary Elwes
333,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed co... Read all",David Fincher,John Brancato|Michael Ferris,Michael Douglas|Deborah Kara Unger|Sean Penn
334,A man heading to Vegas to pay off his gambling debt before the Russian mafia kills him is forced to stop in an Arizona town where everything that can go wrong does go wrong.,Oliver Stone,John Ridley,Sean Penn|Jennifer Lopez|Nick Nolte
335,A playboy gets the tables turned on him when a party is arranged with all of the women he has been two-timing are in attendance.,Lionel C. Martin,Mark Brown|Demetria Johnson,Bill Bellamy|Natalie Desselle Reid|Lark Voorhies
336,A disgraced surgeon leaves his former life and reinvents himself as a gunshot doctor in the criminal underworld.,Andy Wilson,Mark Haskell Smith,David Duchovny|Timothy Hutton|Angelina Jolie
337,A mentally unbalanced young woman - who is convinced she is Jackie Kennedy - flies into a murderous rage when her brother returns home to reveal he is engaged.,Mark Waters,Wendy MacLeod|Mark Waters,Parker Posey|Josh Hamilton|Tori Spelling
338,The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.,Mel Smith,Rowan Atkinson|Richard Curtis|Robin Driscoll,Rowan Atkinson|Peter MacNicol|John Mills
339,"A distraught man inadvertently takes a group of children hostage in a museum while a hungry, seasoned reporter tries to resurrect his career covering the story.",Costa-Gavras,Tom Matthews|Eric Williams,John Travolta|Dustin Hoffman|Alan Alda
340,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",Paul Thomas Anderson,Paul Thomas Anderson,Mark Wahlberg|Julianne Moore|Burt Reynolds
341,A hospital resident is put in the middle of a legal battle between two half-sisters on whether to pull their comatose dad's life support. But more seems to be at stake than dad's life - his ... Read all,Sidney Lumet,Richard Dooling|Steven Schwartz,James Spader|Kyra Sedgwick|Helen Mirren
342,Wallace Ritchie is mistaken for a spy and must stop a plot to assassinate international leaders at a banquet.,Jon Amiel,Robert Farrar|Howard Franklin,Bill Murray|Joanne Whalley|Peter Gallagher
343,"200 years after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone. Along with a crew of space pirates, she must again battle the deadly aliens and stop them from reac... Read all",Jean-Pierre Jeunet,Dan O'Bannon|Ronald Shusett|Joss Whedon,Sigourney Weaver|Winona Ryder|Dominique Pinon
344,"After his happy life spins out of control, a preacher from Texas changes his name, goes to Louisiana and starts preaching on the radio.",Robert Duvall,Robert Duvall,Robert Duvall|Todd Allen|Paul Bagget
345,"Suffering from writer's block and eagerly awaiting his writing award, Harry Block remembers events from his past and scenes from his best-selling books as characters, real and fictional, com... Read all",Woody Allen,Woody Allen,Woody Allen|Judy Davis|Julia Louis-Dreyfus
346,"A flight attendant with a criminal past gets nabbed by the FBI for smuggling. Under pressure to become an informant against the drug dealer she works for, she must find a way to secure her f... Read all",Quentin Tarantino,Quentin Tarantino|Elmore Leonard,Pam Grier|Samuel L. Jackson|Robert Forster
347,"Shortly before an election, a spin-doctor and a Hollywood producer join efforts to fabricate a war in order to cover up a Presidential sex scandal.",Barry Levinson,Larry Beinhart|Hilary Henkin|David Mamet,Dustin Hoffman|Robert De Niro|Anne Heche
348,"Frank Conner is an honest police officer who desperately needs to save his son's life. However, after losing all hope, he finds out that a criminal Peter McCabe in jail is his only savior.",Barbet Schroeder,David Klass,Michael Keaton|Andy Garcia|Brian Cox
349,The partner and nephew of an armored-truck driver tries to prevent three million dollars from being taken by a gang during a catastrophic flooding caused by a severe storm.,Mikael Salomon,Graham Yost,Morgan Freeman|Christian Slater|Randy Quaid
350,"Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution, the killings start again, and they are very similar to Reese's style.",Gregory Hoblit,Nicholas Kazan,Denzel Washington|John Goodman|Donald Sutherland
351,"When the powers of good and evil again descend to Earth in a battle over mankind, the only hope for survival is the unborn child of an innocent woman. With the help of a mysterious stranger,... Read all",Greg Spence,Gregory Widen|Matt Greenberg|Greg Spence,Christopher Walken|Russell Wong|Jennifer Beals
352,World famous pop group the Spice Girls zip around London in their luxurious double decker tour bus having various adventures and performing for their fans.,Bob Spiers,Spice Girls|Kim Fuller|Jamie Curtis,Mel B|Emma Bunton|Melanie C
353,"A group of heavily armed hijackers board a luxury ocean liner in the South Pacific Ocean to loot it, only to do battle with a series of large-sized, tentacled, man-eating sea creatures who h... Read all",Stephen Sommers,Stephen Sommers,Treat Williams|Famke Janssen|Anthony Heald
354,"Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other.",Frank Coraci,Tim Herlihy,Adam Sandler|Drew Barrymore|Christine Taylor
355,A spaceship is discovered under three hundred years' worth of coral growth at the bottom of the ocean.,Barry Levinson,Michael Crichton|Kurt Wimmer|Stephen Hauser,Dustin Hoffman|Sharon Stone|Samuel L. Jackson
356,A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.,Joel Schumacher,John Grisham|Akiva Goldsman|Robert Getchell,Susan Sarandon|Tommy Lee Jones|Brad Renfro
357,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Milos Forman,Lawrence Hauben|Bo Goldman|Ken Kesey,Jack Nicholson|Louise Fletcher|Michael Berryman
358,"An elite mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil.",Mark A.Z. Dippé,Todd McFarlane|Alan B. McElroy|Mark A.Z. Dippé,Michael Jai White|John Leguizamo|Martin Sheen
359,"An American naval officer is recruited for an operation to eliminate his lookalike, the infamous terrorist Carlos The Jackal.",Christian Duguay,Dan Gordon|Sabi H. Shabtai,Aidan Quinn|Donald Sutherland|Ben Kingsley
360,"The director interviews residents of the Levittown community, which was intended to be an affordable housing community for soldiers returning from war. Several communities were built in the ... Read all",John O'Hagan,Bill Griffith|John McGarr|Eddie Money,Unknown
361,"Harry Donovan is an art forger who paints a fake Rembrandt picture for $500,000. Marieke, the woman he meets in Paris and gets into bed with, turns out to be the art expert whom Harry's clie... Read all",John Badham,Jordan Katz,Jason Patric|Irène Jacob|Thomas Lockyer
362,"Elwood must reunite the old band, with a few new members, and go on another ""Mission from God.""",John Landis,Dan Aykroyd|John Landis,Dan Aykroyd|John Goodman|Walter Levine
363,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,Peter Hyams,Karen Elise Baldwin|Gene Quintano,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry
364,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",Steve Oedekerk,Jack Bernstein|Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow
365,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit... Read all,Victor Salva,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen
366,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,John N. Smith,LouAnne Johnson|Ron Bass,Michelle Pfeiffer|George Dzundza|Courtney B. Vance
367,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each oth... Read all",Amy Heckerling,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy
368,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",Jason Bloom,Adam Leff|Mitchell Peck|Jason Blumenthal,Pauly Shore|Stephen Baldwin|William Atherton
369,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,Penelope Spheeris,Fred Wolf,Chris Farley|David Spade|Tim Matheson
370,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.",Stephen Frears,Valerie Martin|Christopher Hampton,Julia Roberts|John Malkovich|George Cole
371,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Clint Eastwood,Richard LaGravenese|Robert James Waller,Clint Eastwood|Meryl Streep|Annie Corley
372,A poignant romantic comedy about the quest for love and intimacy in the age of AIDS. A story of a thirtyish gay actor/waiter who decides to become celibate...the risk of AIDS has taken all t... Read all,Christopher Ashley,Paul Rudnick,Steven Weber|Michael T. Weiss|Peter Jacobson
373,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous coun... Read all",Danny Cannon,John Wagner|Carlos Ezquerra|Michael De Luca,Sylvester Stallone|Armand Assante|Rob Schneider
374,"A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and the... Read all",Bryan Spicer,John Kamps|Arne Olsen,Karan Ashley|Johnny Yong Bosch|Steve Cardenas
375,"Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls.",Paul Verhoeven,Joe Eszterhas,Elizabeth Berkley|Kyle MacLachlan|Gina Gershon
376,"Ellen's cousin, Tracy, arrives in town for a visit and that's only the start of incredibly bad troubles that happen to both of them in an attempt to make Tracy's vacation enjoyable. But when... Read all",John Bowab,Neal Marlens|Carol Black|Warren Bell,Ellen DeGeneres|Holly Fulger|Maggie Wheeler
377,"Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that it is a woodland hellhole run by a psycho ex-fitness instructor.",Steven Brill,Judd Apatow|Steven Brill,Tom McGowan|Aaron Schwartz|Ben Stiller
378,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,Les Mayfield,Valentine Davies|George Seaton|John Hughes,Richard Attenborough|Elizabeth Perkins|Dylan McDermott
379,"Tales of horror based on the gruesome E.C. comic books of the 1950s presented by the legendary Crypt Keeper, a sinister ghoul obsessed with gallows humor and horrific puns.",Steven Dodd,John Kassir|Roy Brocksmith|Miguel Ferrer,Unknown
380,"With the help of long presumed dead Captain Kirk, Captain Picard must stop a deranged scientist willing to murder on a planetary scale in order to enter a space matrix.",David Carson,Gene Roddenberry|Rick Berman|Ronald D. Moore,Patrick Stewart|William Shatner|Malcolm McDowell
381,"A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.",P.J. Hogan,P.J. Hogan,Toni Collette|Rachel Griffiths|Bill Hunter
382,Two drag performers and a transgender woman travel across the desert to perform their unique style of cabaret.,Stephan Elliott,Stephan Elliott,Hugo Weaving|Guy Pearce|Terence Stamp
383,"In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.",Brian Levant,Tom S. Parker|Jim Jennewein|Steven E. de Souza,John Goodman|Rick Moranis|Rosie O'Donnell
384,Frank Drebin (Leslie Nielsen) comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.,Peter Segal,Pat Proft|David Zucker|Robert LoCash,Leslie Nielsen|Priscilla Presley|George Kennedy
385,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smu... Read all",James Cameron,Claude Zidi|Simon Michaël|Didier Kaminka,Arnold Schwarzenegger|Jamie Lee Curtis|Tom Arnold
386,"The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.",Barry Sonnenfeld,Charles Addams|Paul Rudnick,Anjelica Huston|Raul Julia|Christopher Lloyd
387,"A documentary about the making of director Martin Scorsese's feature film adaptation of Edith Wharton's Pulitzer Prize-winning novel, The Age of Innocence. The documentary features a convers... Read all",Laura Davis,Jed Dannenbaum,Jay Cocks|Daniel Day-Lewis|Michelle Pfeiffer
388,"Axel Foley, while investigating a car theft ring, comes across something much bigger than that: the same men who killed his boss are running a counterfeit money ring out of a theme park in L... Read all",John Landis,Danilo Bach|Daniel Petrie Jr.|Steven E. de Souza,Eddie Murphy|Jon Tenney|Joey Travolta
389,"The fates of horses, and the people who own and command them, are revealed as Black Beauty narrates the circle of his life.",Caroline Thompson,Anna Sewell|Caroline Thompson,Sean Bean|David Thewlis|Docs Keepin Time
390,"A mockumentary chronicling the rise and fall of NWH, a not particularly talented--or particularly bright but always controversial--hip-hop group.",Rusty Cundieff,Rusty Cundieff,Larry B. Scott|Mark Christopher Lawrence|Rusty Cundieff
391,"With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.",John McTiernan,Zak Penn|Adam Leff|Shane Black,Arnold Schwarzenegger|F. Murray Abraham|Art Carney
392,Chuck wants to leave home but can't make the grade for boarding school. Then he finds out the disfigured recluse living nearby is an ex-teacher.,Mel Gibson,Isabelle Holland|Malcolm MacRury,Mel Gibson|Nick Stahl|Margaret Whitton
393,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",Chris Columbus,Anne Fine|Randi Mayem Singer|Leslie Dixon,Robin Williams|Sally Field|Pierce Brosnan
394,A series of mysterious crimes threatens the existence of a new radio network.,Mel Smith,George Lucas|Willard Huyck|Gloria Katz,Brian Benben|Mary Stuart Masterson|Ned Beatty
395,"A spoof of Robin Hood in general, and Robin Hood: Prince of Thieves (1991) in particular.",Mel Brooks,J.D. Shapiro|Evan Chandler|Mel Brooks,Cary Elwes|Richard Lewis|Roger Rees
396,"She's the perfect all-American parent: a great cook and homemaker, a devoted recycler, and a woman who'll literally kill to keep her children happy.",John Waters,John Waters,Kathleen Turner|Sam Waterston|Ricki Lake
397,"Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop and goes on the record with his allegations. Demoted ... Read all",Rowdy Herrington,Rowdy Herrington|Marty Kaplan,Bruce Willis|Sarah Jessica Parker|Dennis Farina
398,"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.",Annabel Jankel,Parker Bennett|Terry Runte|Ed Solomon,Bob Hoskins|John Leguizamo|Dennis Hopper
399,"France, 1625: Young d'Artagnan heads to Paris to join the Musketeers but the evil cardinal has disbanded them - save 3. He meets the 3, Athos, Porthos and Aramis, and joins them on their que... Read all",Stephen Herek,Alexandre Dumas|David Loughery,Charlie Sheen|Kiefer Sutherland|Chris O'Donnell
400,"Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship.",Penelope Spheeris,Penelope Spheeris|Robert Wolterstorff|Mike Scott,Travis Tedford|Bug Hall|Brittany Ashton Holmes
401,"The original 70s TV family is now placed in the 1990s, where they're even more square and out of place than ever.",Betty Thomas,Sherwood Schwartz|Laurice Elehwany|Rick Copp,Shelley Long|Gary Cole|Christine Taylor
402,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",Jerry Zucker,Bruce Joel Rubin,Patrick Swayze|Demi Moore|Whoopi Goldberg
403,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",Tim Burton,Bob Kane|Sam Hamm|Warren Skaaren,Michael Keaton|Jack Nicholson|Kim Basinger
404,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",Directors,Carlo Collodi|Ted Sears|Otto Englander,Dickie Jones|Christian Rub|Mel Blanc
